Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
205,Moreno,ago./2024,0,1,"1,9","5,1","15,9",0,"0,5",0,"2,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,2,"1432,4"
199,Olinda,ago./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
551,Olinda (Academia Santa Gertrudes),ago./2024,0,"1,1",2,"3,3","6,8",0,"0,7",0,0,"2,7",0,0,0,0,3,"6,1",0,0,"5,9",5,"0,5",0,0,0,0,0,0,"1,8","2,3",0,"0,5","1456,7"
209,Olinda (Alto da Bondade),ago./2024,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
451,Paulista,ago./2024,0,"1,2","2,4","4,4","7,7",0,0,"1,2","1,6",0,0,0,0,0,1,"0,8",0,"0,6","4,4","2,6","0,2",0,0,0,0,0,0,"6,5",0,0,2,"1747,4"
265,Recife (Alto da Brasileira),ago./2024,0,0,"2,8","12,1","16,3",4,"3,8",0,"6,3",0,0,0,0,0,0,"0,9",0,"1,9","7,1","4,3","0,5",0,0,0,0,0,0,"4,2","1,3","0,4","1,6","1819,1"
196,Recife (Codecipe / Santo Amaro),ago./2024,0,0,"0,1","6,5","6,4",0,0,0,"7,2",0,0,0,0,0,0,"0,5",0,2,11,"2,8","0,1",0,0,0,0,0,0,"2,8","0,6",0,-,"1511,9"
30,Recife (Várzea),ago./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
267,São Lourenço da Mata (Tapacurá),ago./2024,0,0,"1,8","2,7","5,1",0,0,0,"0,9",0,0,0,0,0,0,0,0,"1,9","2,6",0,"5,9",0,0,0,0,0,0,"3,6","1,7","0,6","0,4","1214,2"
198,Abreu e Lima,set./2024,0,0,"0,2",0,"1,8",0,13,13,"0,4",0,0,9,"5,4","0,7",0,0,0,0,0,0,0,"4,5","2,5",0,0,"0,8","0,3",0,0,"7,4",-,"1873,8"
309,Araçoiaba (Granja Cristo Redentor),set./2024,0,0,0,0,0,0,"10,2","7,1",0,0,"6,3","5,4",0,0,"7,6",0,0,0,0,0,"6,3","4,2",0,0,0,0,0,0,0,0,-,"1208,9"
301,Cabo,set./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
490,Cabo (Barragem de Gurjaú),set./2024,"0,2","3,5",0,"0,7","0,7",0,0,6,"4,7","0,3",0,"3,6",8,"3,5","4,3","0,9",0,"0,5","6,4",0,0,6,"1,8",0,0,0,4,"0,8","0,6","2,3",-,"1813,5"
